gene,WT_growth,KO_growth,Percent_change
SGL_RS13785,0.0,0.0,0
SGL_RS17890,0.0,0.0,0
SGL_RS15040,0.0,0.0,0
SGL_RS08515,0.0,0.0,0
SGL_RS10130,0.0,0.0,0
SGL_RS16710,0.0,0.0,0
SGL_RS16530,0.0,0.0,0
SGL_RS03435,0.0,0.0,0
SGL_RS11775,0.0,0.0,0
SGL_RS15655,0.0,0.0,0
SGL_RS16190,0.0,0.0,0
SGL_RS11885,0.0,0.0,0
SGL_RS10825,0.0,0.0,0
SGL_RS14465,0.0,0.0,0
SGL_RS09600,0.0,0.0,0
SGL_RS06095,0.0,0.0,0
SGL_RS04100,0.0,0.0,0
SGL_RS13060,0.0,0.0,0
SGL_RS13445,0.0,0.0,0
SGL_RS11120,0.0,0.0,0
SGL_RS17230,0.0,0.0,0
SGL_RS17340,0.0,0.0,0
SGL_RS11305,0.0,0.0,0
SGL_RS06405,0.0,0.0,0
SGL_RS08445,0.0,0.0,0
SGL_RS08440,0.0,0.0,0
SGL_RS17415,0.0,0.0,0
SGL_RS11330,0.0,0.0,0
SGL_RS05460,0.0,0.0,0
SGL_RS03075,0.0,0.0,0
SGL_RS16540,0.0,0.0,0
SGL_RS11755,0.0,0.0,0
SGL_RS12160,0.0,0.0,0
SGL_RS11255,0.0,0.0,0
SGL_RS06190,0.0,0.0,0
SGL_RS02440,0.0,0.0,0
SGL_RS09345,0.0,0.0,0
SGL_RS12025,0.0,0.0,0
SGL_RS16035,0.0,0.0,0
SGL_RS04385,0.0,0.0,0
SGL_RS14880,0.0,0.0,0
SGL_RS06460,0.0,0.0,0
SGL_RS15345,0.0,0.0,0
SGL_RS14665,0.0,0.0,0
SGL_RS07880,0.0,0.0,0
SGL_RS13390,0.0,0.0,0
SGL_RS09590,0.0,0.0,0
SGL_RS13880,0.0,0.0,0
SGL_RS07710,0.0,0.0,0
SGL_RS16615,0.0,0.0,0
SGL_RS10105,0.0,0.0,0
SGL_RS07485,0.0,0.0,0
SGL_RS09870,0.0,0.0,0
SGL_RS12770,0.0,0.0,0
SGL_RS16675,0.0,0.0,0
SGL_RS12060,0.0,0.0,0
SGL_RS16890,0.0,0.0,0
SGL_RS08945,0.0,0.0,0
SGL_RS16740,0.0,0.0,0
SGL_RS15225,0.0,0.0,0
SGL_RS03345,0.0,0.0,0
SGL_RS03395,0.0,0.0,0
SGL_RS05455,0.0,0.0,0
SGL_RS16940,0.0,0.0,0
SGL_RS15675,0.0,0.0,0
SGL_RS03135,0.0,0.0,0
SGL_RS02630,0.0,0.0,0
SGL_RS10380,0.0,0.0,0
SGL_RS09070,0.0,0.0,0
SGL_RS09640,0.0,0.0,0
SGL_RS03055,0.0,0.0,0
SGL_RS04875,0.0,0.0,0
SGL_RS02940,0.0,0.0,0
SGL_RS07655,0.0,0.0,0
SGL_RS16850,0.0,0.0,0
SGL_RS02895,0.0,0.0,0
SGL_RS13460,0.0,0.0,0
SGL_RS04275,0.0,0.0,0
SGL_RS04160,0.0,0.0,0
SGL_RS17055,0.0,0.0,0
SGL_RS11925,0.0,0.0,0
SGL_RS17050,0.0,0.0,0
SGL_RS04915,0.0,0.0,0
SGL_RS04340,0.0,0.0,0
SGL_RS16610,0.0,0.0,0
